"species","centroid.distance","I.obs","I.res.s","I.res.w","p.similar","migStatus"
"Cyclarhis gujanensis",421403.507933572,0.660537153712196,0.657323779720986,0.65809287557948,0.001998001998002,"1"
"Cyclarhis nigrirostris",18758.8389651549,0.751514360870401,0.753473782265382,0.735519967238245,0.003996003996004,"1"
"Hylophilus amaurocephalus",962479.593969142,0.4693611322532,0.469387607827316,0.474047811034524,0.001998001998002,"1"
"Hylophilus aurantiifrons",21712.4222764275,0.612288697670482,0.644191097007887,0.586205857798676,0.001998001998002,"1"
"Hylophilus decurtatus",19163.9423758468,0.628437202109622,0.643872726800247,0.640662570841061,0.001998001998002,"1"
"Hylophilus flavipes",190669.193746295,0.588771505874484,0.577880625557605,0.565460584424547,0.001998001998002,"1"
"Hylophilus hypoxanthus",421235.928329204,0.42013243107893,0.450926598729087,0.709718870503175,0.653346653346653,"1"
"Hylophilus muscicapinus",692474.711328077,0.656476468589837,0.648813883556763,0.658566804258941,0.001998001998002,"1"
"Hylophilus ochraceiceps",180652.137161558,0.722266361817306,0.683534506833246,0.713935235529867,0.001998001998002,"1"
"Hylophilus olivaceus",112499.691041188,0.408130924352047,0.423889281612713,0.415886733539988,0.001998001998002,"1"
"Hylophilus pectoralis",1104363.05396346,0.514931657845142,0.503462470514936,0.501959029152756,0.001998001998002,"1"
"Hylophilus poicilotis",235631.4880819,0.59239556129038,0.489193043980097,0.536267529632048,0.003996003996004,"1"
"Hylophilus semibrunneus",57791.853396378,0.397191993084418,0.419729201966347,0.420212200228784,0.001998001998002,"1"
"Hylophilus semicinereus",427316.347639945,0.601814551389041,0.614467662925203,0.589318056655488,0.001998001998002,"1"
"Hylophilus thoracicus",513759.330904998,0.586299276120919,0.57491276511959,0.652104151583094,0.001998001998002,"1"
"Vireo altiloquus",851976.49041069,0.55481779613259,0.727261312835436,0.632802074318828,0.1998001998002,"2"
"Vireo atricapilla",1266191.8054316,0.411277922738474,0.296888815591472,0.455191147992831,0.155844155844156,"3"
"Vireo bairdi",85069.7103079847,0.802444817726969,0.778543929498205,0.75916783897532,0.00599400599400599,"1"
"Vireo bellii",1121787.88083408,0.506279869305974,0.321617825587621,0.550666183881096,0.121878121878122,"2"
"Vireo brevipennis",86185.0938742448,0.608892786153447,0.659896660096712,0.651170601679543,0.003996003996004,"1"
"Vireo carmioli",2017.20044994328,0.593622806517088,0.581127014558853,0.584006428102322,0.001998001998002,"1"
"Vireo cassinii",2078237.67878155,0.615626271440061,0.481019899165077,0.401212232745752,0.001998001998002,"2"
"Vireo crassirostris",90598.6544451343,0.613906703662914,0.651014218112907,0.650295067817398,0.0959040959040959,"2"
"Vireo flavifrons",2594450.35200899,0.495981523442034,0.362866914187274,0.628483320767912,0.235764235764236,"3"
"Vireo flavoviridis",2024703.85275183,0.620005926081239,0.554098721510749,0.690601638129539,0.001998001998002,"3"
"Vireo gilvus",1720401.64053854,0.575892694588893,0.547062743641796,0.475024811264554,0.00599400599400599,"2"
"Vireo griseus",966981.673146291,0.516416349121641,0.362794586464914,0.458751141804895,0.255744255744256,"2"
"Vireo gundlachii",34298.3982059067,0.433946229783621,0.554651431545641,0.606892291789573,0.003996003996004,"1"
"Vireo huttoni",119682.281294795,0.677962750295856,0.67455046909125,0.656761838283352,0.001998001998002,"1"
"Vireo hypochryseus",252857.634059588,0.555279592180294,0.535368442133141,0.49272906688422,0.003996003996004,"1"
"Vireo latimeri",2520.63317980022,0.695776925465052,0.701695895827615,0.759410048681386,0.003996003996004,"1"
"Vireo leucophrys",90571.9293566155,0.715305141675202,0.720736251421344,0.657932341729418,0.003996003996004,"1"
"Vireo magister",61821.1133306205,0.714443185273301,0.753754568817711,0.737468747009932,0.01998001998002,"1"
"Vireo masteri",282584.306535544,0.649746171003027,0.840092807252722,0.779012803896971,0.003996003996004,"1"
"Vireo modestus",88655.3782408776,0.72871528666292,0.80353481517008,0.803129733892919,0.001998001998002,"1"
"Vireo nanus",61598.8124066483,0.509726736876851,0.507915025457019,0.581890461871452,0.001998001998002,"1"
"Vireo nelsoni",235680.484447435,0.671474489029268,0.651357572855758,0.654615597794149,0.00599400599400599,"1"
"Vireo olivaceus",2916212.85838183,0.406088603841944,0.374421826259758,0.539788539606313,0.575424575424575,"2"
"Vireo pallens",77807.2679069936,0.553251536369439,0.61097907489639,0.59742682844091,0.0699300699300699,"1"
"Vireo philadelphicus",2486653.03722875,0.452542895127788,0.407550938289462,0.546090542961627,0.549450549450549,"3"
"Vireo plumbeus",721968.683034036,0.560475855468947,0.336787879478737,0.391554790533432,0.03996003996004,"2"
"Vireo solitarius",1596037.2685385,0.601114637968152,0.362240798794034,0.447341918057689,0.0699300699300699,"3"
"Vireo vicinior",554694.735771621,0.534132071024365,0.374966434636736,0.36532508959345,0.001998001998002,"2"
"Vireolanius leucotis",390804.57020034,0.495567802181429,0.506815446858708,0.498927758801567,0.001998001998002,"1"
"Vireolanius melitophrys",96626.3356022561,0.54322377507718,0.549155783408112,0.639680764765404,0.003996003996004,"1"
"Vireolanius pulchellus",225322.665008467,0.598584561095055,0.596074342186273,0.658553018071893,0.001998001998002,"1"
